Title,Productioncompany,Release date,Running time,Country,Language,Box office,Metascore,imdbRating,Rotten_Tomatoes,Genre,Rated,BoxOffice_Api,Type,Directed by,Written by,Based on,Produced by,Starring,Music by,Distributed by,Budget,Story by,Narrated by,Cinematography,Edited by,Languages,Screenplay by,Countries,Productioncompanies,Color process,Created by,Country of origin,No. of seasons,No. of episodes,Executive producers,Production company,Original network,Picture format,Audio format,Original release,Related shows,Original language,Executive producer,Producers,Editors,Distributor,Japanese,Hepburn,Adaptation by,Animation by,Traditional,Simplified
Toy Story 3,,"['June12,2010(2010-06-12) (Taormina Film Fest)', 'June18,2010(2010-06-18) (United States)']",['103 minutes[1]'],['United States'],['English'],['$1.067billion[1]'],92,8.2,98%,"Animation, Adventure, Comedy",G,"$415,004,880",movie,['Lee Unkrich'],,,['Darla K. Anderson'],"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Don Rickles', 'Wallace Shawn', 'John Ratzenberger', 'Estelle Harris', 'Ned Beatty', 'Michael Keaton', 'Jodi Benson', 'John Morris']",['Randy Newman'],['Walt Disney StudiosMotion Pictures'],['$200million[1]'],"['John Lasseter', 'Andrew Stanton', 'Lee Unkrich']",,"['Jeremy Lasky', 'Kim White']",['Ken Schretzmann'],,['Michael Arndt'],,"['Walt Disney Pictures', 'Pixar Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,
The Sorcerer's Apprentice,,"['July8,2010(2010-07-08) (Fantasia Film Festival)', 'July14,2010(2010-07-14)']",['109 minutes'],['United States'],['English'],['$215.3 million[2]'],46,6.1,40%,"Action, Adventure, Family",PG,"$63,150,991",movie,['Jon Turteltaub'],,"[""The Sorcerer's Apprenticeby Johann Wolfgang von Goethe""]",['Jerry Bruckheimer'],"['Nicolas Cage', 'Jay Baruchel', 'Alfred Molina', 'Teresa Palmer', 'Monica Bellucci']",['Trevor Rabin'],['Walt Disney StudiosMotion Pictures'],['$150 million[1]'],"['Matt Lopez', 'Lawrence Konner', 'Mark Rosenthal']",,['Bojan Bazelli'],['William Goldenberg'],,"['Doug Miro', 'Carlo Bernard', 'Matt Lopez']",,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Broken Road Productions']",,,,,,,,,,,,,,,,,,,,,,,
Tales from Earthsea,['Studio Ghibli'],"['July29,2006(2006-07-29)']",['115 minutes'],['Japan'],['Japanese'],['$75.5 million[1]'],,,,,,,,['Gorō Miyazaki'],,['Earthseaby Ursula K. Le GuinThe Journey of Shunaby Hayao Miyazaki'],['Toshio Suzuki Tomohiko Ishii'],['Bunta Sugawara Junichi Okada Aoi Teshima Yūko Tanaka'],['Tamiya Terashima'],['Toho'],['$22 million[citation needed]'],,,,['Takeshi Seyama'],,['Gorō Miyazaki Keiko Niwa'],,,,,,,,,,,,,,,,,,,,['ゲド戦記'],['Gedo Senki'],,,,
The Crimson Wing: Mystery of the Flamingos,,"['26October2008(2008-10-26) (France)', '29September2009(2009-09-29) (United Kingdom)']",['74 minutes'],,['English'],,N/A,7.3,75%,Documentary,G,N/A,movie,['Matthew AeberhardLeander Ward'],['Melanie Finn'],,['Matthew AeberhardLeander WardPaul Webster (executive producer)Stephen Garrett (executive producer)'],,['The Cinematic Orchestra and Claseria'],['Walt Disney Studios Motion Pictures'],,,['Mariella Frostrup (UK/US)Zabou Breitman (France)'],,,,,['United KingdomUnited States'],['DisneynatureNatural Light FilmsKudos Pictures'],,,,,,,,,,,,,,,,,,,,,,,
Secretariat,,"['September30,2010(2010-09-30) (Hollywood)', 'October8,2010(2010-10-08) (United States)']",['123 minutes'],['United States'],['English'],['$60.3 million[2]'],61,7.2,64%,"Biography, Drama, Family",PG,"$59,713,955",movie,['Randall Wallace'],['Mike RichSheldon Turner'],,['Mark CiardiGordon Gray'],"['Diane Lane', 'John Malkovich', 'Dylan Walsh', 'James Cromwell', 'Kevin Connolly', 'Scott Glenn']",['Nick Glennie-Smith'],['Walt Disney StudiosMotion Pictures'],['$35 million[1][2]'],,,['Dean Semler'],['John Wright'],,,,['Walt Disney PicturesMayhem Pictures'],,,,,,,,,,,,,,,,,,,,,,,
Do Dooni Chaar,,['8October2010(2010-10-08)'],['108 minutes'],['India'],['Hindi'],,,,,,,,,['Habib Faisal'],,,['Arindam Chaudhuri'],['Rishi KapoorNeetu Singh'],['Meet Bros AnjjanAnkit Tiwari'],['Walt Disney Studios Motion Pictures'],,['Habib Faisal'],,['Anshuman Mahaley'],['Aarti Bajaj'],,['Habib FaisalRahil Qazi'],,"['Walt Disney Pictures', 'Disney World Cinema', 'Planman Motion Pictures', 'Walt Disney Pictures India']",,,,,,,,,,,,,,,,,,,,,,,
Tangled,,"['November14,2010(2010-11-14) (El Capitan Theatre)', 'November24,2010(2010-11-24) (United States)']",['100 minutes[4]'],['United States'],['English'],['$592.4 million[6]'],,,,,,,,"['Nathan Greno', 'Byron Howard']",,['Rapunzelby the Brothers Grimm'],['Roy Conli'],"['Mandy Moore', 'Zachary Levi', 'Donna Murphy']",['Alan Menken'],['Walt Disney Studios Motion Pictures[2]'],['$260 million[5][6]'],,,,['Tim Mertens'],,['Dan Fogelman'],,['Walt Disney Pictures[2]Walt Disney Animation Studios[3]'],,,,,,,,,,,,,,,,,,,,,,,
The Boys: The Sherman Brothers' Story,,"['April24,2009(2009-04-24) (San Francisco International Film Festival)', 'May22,2009(2009-05-22) (United States)']",['101 minutes'],['United States'],['English'],"['$55,513[1]']",78,7.8,90%,Documentary,PG,"$55,513",movie,['Gregory V. ShermanJeffrey C. Sherman'],,,['Gregory V. ShermanJeffrey C. ShermanExecutive:Stuart CornfeldBen Stiller'],['Richard M. ShermanRobert B. Sherman'],['Richard M. ShermanRobert B. Sherman'],['Walt Disney StudiosMotion Pictures'],,,,['Richard Numeroff'],['Rich Evirs'],,,,['Walt Disney PicturesRed Hour Films'],,,,,,,,,,,,,,,,,,,,,,,
Tron: Legacy,,"['November30,2010(2010-11-30) (Tokyo)', 'December17,2010(2010-12-17) (United States)[1]']",['125 minutes[2]'],['United States'],['English'],['$400.1million[4][5]'],N/A,6.8,,"Documentary, Short",N/A,N/A,movie,['Joseph Kosinski'],,['Charactersby Steven LisbergerBonnie MacBird'],"['Sean Bailey', 'Jeffrey Silver', 'Steven Lisberger']","['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde', 'Bruce Boxleitner', 'James Frain', 'Beau Garrett', 'Michael Sheen']",['Daft Punk'],['Walt Disney Studios Motion Pictures'],['$170million[3][4]'],"['Edward Kitsis', 'Adam Horowitz', 'Brian Klugman', 'Lee Sternthal']",,['Claudio Miranda'],['James Haygood'],,"['Edward Kitsis', 'Adam Horowitz']",,"['Walt Disney Pictures', 'Sean Bailey Productions']",,,,,,,,,,,,,,,,,,,,,,,
Anaganaga O Dheerudu,,['14January2011(2011-01-14) (India)'],,['India'],['Telugu'],['₹50 crore (US$7.0million)'],,,,,,,,['Prakash Kovelamudi'],['Choudekar Haricharan Madnoor'],,['Prakash KovelamudiShobu YarlagaddaPrasad Devineni'],['Siddharth Shruti HaasanLakshmi ManchuBaby Harshitha'],['Salim–SulaimanM. M. KeeravaniKotiMickey J MeyerAnanth'],['UTV Motion Pictures[1]'],['₹27 crore (US$3.8million)'],,,['Soundarrajan'],['Sravan Katikaneni'],,,,['Disney World CinemaA Bellyful of Dreams EntertainmentArka Media WorksWalt Disney Pictures India'],,,,,,,,,,,,,,,,,,,,,,,
Lilly the Witch: The Journey to Mandolan,['Walt Disney Pictures'],['17February2011(2011-02-17)'],['90 minutes'],['Germany'],['German'],,,,,,,,,['Harald Sicheritz'],['Bettine von BorriesAchim von Borries'],,,['Alina FreundTanay Chheda'],['Ian Honeyman'],['Walt Disney Studios Motion Pictures'],,,,['Thomas Kienast'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mars Needs Moms,,"['March11,2011(2011-03-11)']",['88 minutes[1]'],['United States'],['English'],['$39.2 million[1]'],49,5.4,37%,"Animation, Action, Adventure",PG,"$21,392,758",movie,['Simon Wells'],,['Mars Needs Moms!by Berkeley Breathed'],['Robert ZemeckisJack RapkeSteve StarkeySteven Boyd'],"['Seth Green', 'Dan Fogler', 'Tom Everett Scott', 'Elisabeth Harnois', 'Mindy Sterling', 'Joan Cusack', 'Dee Bradley Baker']",['John Powell'],['Walt Disney StudiosMotion Pictures'],['$150 million[1][2]'],,,['Robert Presley'],['Wayne Wahrman'],,"['Simon Wells', 'Wendy Wells']",,['Walt Disney PicturesImageMovers Digital'],,,,,,,,,,,,,,,,,,,,,,,
Zokkomon,,['22April2011(2011-04-22)'],['109 minutes'],['India'],['Hindi'],,N/A,4.0,,"Action, Adventure, Family",PG,"$3,000",movie,['Satyajit Bhatkal'],,,,['Darsheel SafaryManjari FadnisAnupam Kher'],['Shankar-Ehsaan-Loy'],['UTV Motion Pictures'],,,,['Keshav Prakash'],['Suresh Pai'],,['Satyajit BhatkalLancy FernandesSvati Chakravarty Bhatkal'],,['Disney World CinemaWalt Disney Pictures India'],,,,,,,,,,,,,,,,,,,,,,,
African Cats,,"['April22,2011(2011-04-22) (United States)', 'February1,2012(2012-02-01) (France)', 'April27,2012(2012-04-27) (United Kingdom)']",['89 minutes'],,,['$30.9 million[3]'],61,7.5,73%,"Documentary, Adventure",G,"$15,428,747",movie,['Alastair FothergillKeith Scholey'],,,['Alix Tidmarsh  Keith Scholey'],,['Nicholas Hooper'],['Walt Disney Studios Motion Pictures'],['$5 million[2]'],,['Samuel L. Jackson (US version)Patrick Stewart (UK version)'],,,['EnglishFrench'],,['United StatesFranceUnited Kingdom'],"['Disneynature', 'Fothergill / Scholey Productions', 'Silverback Films[1]']",,,,,,,,,,,,,,,,,,,,,,,
Prom,['Walt Disney Pictures'],"['April29,2011(2011-04-29)']",['104 minutes'],['United States'],['English'],['$10.7 million[2]'],50,5.4,35%,"Comedy, Drama, Family",PG,"$10,130,219",movie,['Joe Nussbaum'],['Katie Wech'],,['Ted GriffinJustin Springer'],['Aimee TeegardenThomas McDonellCameron MonaghanYin ChangNicholas BraunDean NorrisDanielle CampbellNolan SotilloKylie BunburyChristine EliseRaini Rodriguez'],['Deborah Lurie'],['Walt Disney StudiosMotion Pictures'],['$8 million[1]'],,,['Byron Shah'],['Jeffrey M. Werner'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirates of the Caribbean: On Stranger Tides,,"['May7,2011(2011-05-07) (Disneyland Resort)', 'May20,2011(2011-05-20) (United States)']",['137 minutes[1]'],['United States'],['English'],['$1.046 billion[3]'],,,,,,,,['Rob Marshall'],"['Ted Elliott', 'Terry Rossio']","['On Stranger Tidesby Tim Powers', 'Charactersby Ted ElliottTerry RossioStuart BeattieJay Wolpert', 'Pirates of the Caribbeanby Walt Disney']",['Jerry Bruckheimer'],"['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Kevin R. McNally', 'Geoffrey Rush']",['Hans Zimmer'],['Walt Disney StudiosMotion Pictures'],"['$410.6 million (gross)', '$378.5 million (net)[2]']",,,['Dariusz Wolski'],"['David Brenner', 'Wyatt Smith']",,,,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",,,,,,,,,,,,,,,,,,,,,,,
Cars 2,,"['June18,2011(2011-06-18) (Hollywood)', 'June24,2011(2011-06-24) (United States)']",['106 minutes'],['United States'],['English'],['$562.1 million[2]'],57,6.1,40%,"Animation, Adventure, Comedy",G,"$191,452,396",movie,['John Lasseter'],,,['Denise Ream'],"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine', 'Emily Mortimer', 'John Turturro', 'Eddie Izzard']",['Michael Giacchino'],['Walt Disney StudiosMotion Pictures'],['$200million[1]'],"['John Lasseter', 'Brad Lewis', 'Dan Fogelman']",,"['Jeremy Lasky', 'Sharon Calahan']",['Stephen Schaffer'],,['Ben Queen'],,"['Walt Disney Pictures', 'Pixar Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,
Winnie the Pooh,,"['April6,2011(2011-04-06) (Belgium)', 'July15,2011(2011-07-15) (United States)']",['63 minutes[1]'],['United States'],['English'],['$50.1 million[3]'],,,,,,,,"['Stephen Anderson', 'Don Hall']",,['Winnie-the-Poohby A. A. MilneE. H. Shepard'],"['Peter Del Vecho', 'Clark Spencer']","['Jim Cummings', 'Jack Boulter', 'Travis Oates', 'Bud Luckey', 'Tom Kenny', 'Craig Ferguson', 'Kristen Anderson-Lopez', 'Wyatt Hall', 'Huell Howser']",['Henry Jackman'],['Walt Disney StudiosMotion Pictures'],['$30 million[2]'],"['Stephen Anderson', 'Clio Chiang', 'Don Dougherty', 'Don Hall', 'Kendelle Hoyer', 'Brian Kesinger', 'Nicole Mitchell', 'Jeremy Spears']",['John Cleese'],['Julio Macat(live-action scenes)'],['Lisa Linder Silver'],,,,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,
The Muppets,,"['November4,2011(2011-11-04) (Savannah Film Festival)', 'November23,2011(2011-11-23) (United States)']",['103 minutes[2]'],['United States'],['English'],['$165.2 million[5]'],,,,,,,,['James Bobin'],"['Jason Segel', 'Nicholas Stoller']","[""Disney's Muppet characters and properties""]","['David Hoberman', 'Todd Lieberman']","['Jason Segel', 'Amy Adams', 'Chris Cooper', 'Rashida Jones']",['Christophe Beck'],['Walt Disney StudiosMotion Pictures'],['$45million[3][4]'],,,['Don Burgess'],['James Thomas'],,,,['Walt Disney Pictures[1]Mandeville Films[1]'],,,,,,,,,,,,,,,,,,,,,,,
The Secret World of Arrietty,['Studio Ghibli'],['17July2010(2010-07-17)'],['95 minutes'],['Japan'],['Japanese'],['$146million[1]'],,,,,,,,['Hiromasa Yonebayashi'],,['The Borrowersby Mary Norton'],['Toshio Suzuki'],['Mirai ShidaRyunosuke KamikiShinobu OtakeKeiko TakeshitaTatsuya FujiwaraTomokazu MiuraKirin Kiki'],['Cécile Corbel'],['Toho'],['$23million'],,,['Atsushi Okui'],['Keiko KadokawaRie MatsubaraHiromi SasakiTakeshi Seyama'],,['Hayao MiyazakiKeiko Niwa'],,,,,,,,,,,,,,,,,,,,['借りぐらしのアリエッティ'],['Kari-gurashi no Arietti'],,,,
John Carter,['Walt Disney Pictures'],"['February22,2012(2012-02-22) (LosAngeles)', 'March9,2012(2012-03-09) (UnitedStates)']",['132 minutes[1]'],['United States'],['English'],['$284.1 million[3]'],,,,,,,,['Andrew Stanton'],,['A Princess of Marsby Edgar Rice Burroughs'],"['Jim Morris', 'Colin Wilson', 'Lindsey Collins']","['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Mark Strong', 'Ciarán Hinds', 'Dominic West', 'James Purefoy', 'Willem Dafoe']",['Michael Giacchino'],['Walt Disney StudiosMotion Pictures'],"['$306.6 million (gross)[2]', '$263.7 million (net)[2]']",,,['Dan Mindel'],['Eric Zumbrunnen'],,"['Andrew Stanton', 'Mark Andrews', 'Michael Chabon']",,,,,,,,,,,,,,,,,,,,,,,,,
Chimpanzee,,"['April20,2012(2012-04-20) (United States)', 'February20,2013(2013-02-20) (France)', 'May3,2013(2013-05-03) (United Kingdom)']",['77 minutes'],,,['$34.8 million[2]'],57,7.2,76%,"Documentary, Family",G,"$28,972,764",movie,['Alastair FothergillMark Linfield'],['Alastair FothergillMark LinfieldDon Hahn'],,['Alastair FothergillMark LinfieldAlix Tidmarsh'],,['Nicholas Hooper'],['Walt Disney Studios Motion Pictures'],['$5 million[1]'],,['Tim Allen'],['Martyn Colbeck (Ivory Coast)Bill Wallauer (Uganda)'],['Andy Netley'],['EnglishFrench'],,['United StatesFranceUnited Kingdom'],['DisneynatureGreat Ape Productions'],,,,,,,,,,,,,,,,,,,,,,,
Arjun: The Warrior Prince,,['25May2012(2012-05-25)'],['96 minutes'],['India'],['Hindi'],,N/A,6.9,67%,"Animation, Action, Adventure",Not Rated,"$10,017",movie,['Arnab Chaudhuri'],['Rajesh Devraj'],,['Ronnie ScrewvalaSiddharth Roy Kapur'],,['Songs:Vishal-ShekharBackground Score:Dhruv Ghanekar[1]'],['UTV Motion Pictures (India)Walt Disney Pictures (International)'],,,,['Hemant Chaturvedi'],['A. Sreekar Prasad'],,,,['Walt Disney PicturesUTV Motion Pictures'],,,,,,,,,,,,,,,,,,,,,,,
Brave,,"['June10,2012(2012-06-10) (SIFF)', 'June22,2012(2012-06-22) (United States)']",['93 minutes[1]'],['United States'],['English'],['$540.4 million[2]'],69,7.1,78%,"Animation, Adventure, Comedy",PG,"$237,283,207",movie,"['Mark Andrews', 'Brenda Chapman']",,,['Katherine Sarafian'],"['Kelly Macdonald', 'Emma Thompson', 'Billy Connolly', 'Julie Walters', 'Robbie Coltrane', 'Kevin McKidd', 'Craig Ferguson']",['Patrick Doyle'],['Walt Disney StudiosMotion Pictures'],['$185 million[1]'],['Brenda Chapman'],,"['Robert Anderson (camera)', 'Danielle Feinberg (lighting)']",['Nicholas C. Smith'],,"['Mark Andrews', 'Steve Purcell', 'Brenda Chapman', 'Irene Mecchi']",,"['Walt Disney Pictures', 'Pixar Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,
The Odd Life of Timothy Green,,"['August15,2012(2012-08-15)']",['104 minutes[1]'],['United States'],['English'],['$56 million[4]'],,,,,,,,['Peter Hedges'],,,"['Scott Sanders', 'James Whitaker', 'Ahmet Zappa']","['Jennifer Garner', 'Joel Edgerton', 'Dianne Wiest', 'CJ Adams', 'Rosemarie DeWitt', 'Ron Livingston', 'David Morse', 'Common']",['Geoff Zanelli'],['Walt Disney StudiosMotion Pictures'],['$25 million[2][3]'],['Ahmet Zappa'],,['John Toll'],['Andrew Mondshein'],,['Peter Hedges'],,"['Walt Disney Pictures', 'Scott Sanders Productions']",,,,,,,,,,,,,,,,,,,,,,,
Frankenweenie,,"['September20,2012(2012-09-20) (Fantastic Fest)', 'October5,2012(2012-10-05) (United States)']",['87 minutes[1]'],['United States'],['English'],['$81.5 million[2]'],74,6.9,87%,"Animation, Comedy, Family",PG,"$35,291,068",movie,['Tim Burton'],,['Frankenweenieby Tim BurtonLenny Ripps'],['Tim BurtonAllison Abbate'],"[""Catherine O'HaraMartin ShortMartin LandauCharlie TahanAtticus ShafferWinona Ryder""]",['Danny Elfman'],['Walt Disney Studios Motion Pictures'],['$39 million[2]'],['Tim Burton'],,['Peter Sorg'],['Chris LebenzonMark Solomon'],,['John August'],,['Walt Disney PicturesTim Burton Productions'],,,,,,,,,,,,,,,,,,,,,,,
Wreck-It Ralph,,"['October29,2012(2012-10-29) (El Capitan Theatre[2])', 'November2,2012(2012-11-02) (United States)']",['101 minutes[3][4]'],['United States'],['English'],['$471.2 million[5]'],,,,,,,,['Rich Moore'],,,['Clark Spencer'],['John C. ReillySarah SilvermanJack McBrayerJane Lynch'],['Henry Jackman'],['Walt Disney Studios Motion Pictures'],['$165million[5]'],['Rich MoorePhil JohnstonJim Reardon'],,['Rob Dressel'],['Tim Mertens'],,['Phil Johnston[1]Jennifer Lee[1]'],,['Walt Disney PicturesWalt Disney Animation Studios'],,,,,,,,,,,,,,,,,,,,,,,
Oz the Great and Powerful,,"['February14,2013(2013-02-14) (El Capitan Theatre)', 'March8,2013(2013-03-08) (United States)']",['130 minutes[1]'],['United States'],['English'],['$493.3 million[4]'],44,6.3,57%,"Adventure, Family, Fantasy",PG,"$234,911,825",movie,['Sam Raimi'],,['Ozby L. Frank Baum'],['Joe Roth'],"['James Franco', 'Mila Kunis', 'Rachel Weisz', 'Michelle Williams', 'Zach Braff', 'Bill Cobbs', 'Joey King', 'Tony Cox']",['Danny Elfman'],['Walt Disney StudiosMotion Pictures'],['$200–215 million[2][3]'],['Mitchell Kapner'],,['Peter Deming'],['Bob Murawski'],,"['Mitchell Kapner', 'David Lindsay-Abaire']",,"['Walt Disney Pictures', 'Roth Films']",,,,,,,,,,,,,,,,,,,,,,,
Wings of Life,,"['16March2011(2011-03-16) (France)', '16April2013(2013-04-16) (United States)']",['77 minutes'],,,,,,,,,,,['Louis Schwartzberg'],,,['Grady CandlerAlix Tidmarsh'],,['Steffen Aaskoven & Marc-George AndersenBliss'],['Walt Disney Studios Motion Pictures France (France)Walt Disney Studios Home Entertainment (United States)'],,,['Mélanie Laurent (France)Meryl Streep (United States)'],,['Jonathan P. Shaw'],['FrenchEnglish'],,['FranceUnited States'],['DisneynatureBlacklight Films'],,,,,,,,,,,,,,,,,,,,,,,
Monsters University,,"['June5,2013(2013-06-05) (BFI Southbank)', 'June21,2013(2013-06-21) (United States)']",['104 minutes[1]'],['United States'],['English'],['$743.6million[5]'],65,7.2,80%,"Animation, Adventure, Comedy",G,"$268,492,764",movie,['Dan Scanlon'],"['Dan Gerson', 'Robert L. Baird', 'Dan Scanlon']",,['Kori Rae'],"['Billy Crystal', 'John Goodman', 'Steve Buscemi', 'Helen Mirren', 'Peter Sohn', 'Joel Murray', 'Sean Hayes', 'Dave Foley', 'Charlie Day', 'Nathan Fillion']",['Randy Newman'],['Walt Disney StudiosMotion Pictures'],['$200million[2][3][4]'],,,"['Matt Aspbury (camera)', 'Jean-Claude Kalache (lighting)']",['Greg Snyder'],,,,"['Walt Disney Pictures', 'Pixar Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,
The Lone Ranger,,"['June22,2013(2013-06-22) (Hyperion Theatre)', 'July3,2013(2013-07-03) (United States)']",['149 minutes[1]'],['United States'],['English'],['$260.5 million[3]'],,,,,,,,['Gore Verbinski'],,['Lone Rangerby Fran StrikerGeorge W. Trendle'],"['Jerry Bruckheimer', 'Gore Verbinski']","['Johnny Depp', 'Armie Hammer', 'Tom Wilkinson', 'William Fichtner', 'Barry Pepper', 'James Badge Dale', 'Helena Bonham Carter']",['Hans Zimmer'],['Walt Disney StudiosMotion Pictures'],['$225–250 million[2]'],"['Ted Elliott', 'Terry Rossio', 'Justin Haythe']",,['Bojan Bazelli'],"['James Haygood', 'Craig Wood']",,"['Justin Haythe', 'Ted Elliott', 'Terry Rossio']",,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Blind Wink Productions']",,,,,,,,,,,,,,,,,,,,,,,
Planes,,"['August2,2013(2013-08-02) (EAA AirVenture Oshkosh)[5]', 'August9,2013(2013-08-09) (United States)[6]']",['92 minutes[7]'],['United States'],['English'],['$239.3 million[8]'],39,5.7,25%,"Animation, Adventure, Comedy",PG,"$90,288,712",movie,['Klay Hall[1]'],,,['Tracy Balthazor-Flynn[3]'],['Dane CookStacy KeachPriyanka ChopraTeri HatcherBrad GarrettJulia Louis-DreyfusRoger Craig SmithJohn CleeseCarlos AlazraquiAnthony EdwardsSinbadVal Kilmer'],['Mark Mancina[4]'],['Walt Disney StudiosMotion Pictures'],['$50 million[8]'],['John LasseterKlay HallJeffrey M. Howard'],,,['Jeremy Milton'],,['Jeffrey M. Howard[2]'],,['Walt Disney PicturesDisneytoon Studios'],,,,,,,,,,,,,,,,,,,,,,,
Frozen,,"['November19,2013(2013-11-19) (El Capitan Theatre)', 'November22,2013(2013-11-22) (United States)[1]']",['102 minutes[2]'],['United States'],['English'],['$1.280 billion[4]'],,,,,,,,"['Chris Buck', 'Jennifer Lee']",,,['Peter Del Vecho'],"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad', 'Santino Fontana']","['Christophe Beck (score)', 'Robert Lopez (songs)', 'Kristen Anderson-Lopez (songs)']",['Walt Disney StudiosMotion Pictures'],['$150 million[3][4]'],"['Chris Buck', 'Jennifer Lee', 'Shane Morris']",,['Scott Beattie (layout)Mohit Kallianpur (lighting)'],['Jeff Draheim'],,['Jennifer Lee'],,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,
Saving Mr. Banks,,"['October20,2013(2013-10-20) (BFI London Film Festival)', 'November29,2013(2013-11-29) (United Kingdom)', 'December13,2013(2013-12-13) (United States)', 'January9,2014(2014-01-09) (Australia)']",['125 minutes[1]'],,['English'],['$117.9 million[3]'],,,,,,,,['John Lee Hancock'],['Kelly MarcelSue Smith'],,['Alison OwenIan ColliePhilip Steuer'],['Emma ThompsonTom HanksPaul GiamattiJason SchwartzmanBradley WhitfordColin Farrell'],['Thomas Newman'],['Walt Disney StudiosMotion Pictures'],['$35 million[2]'],,,['John Schwartzman'],['Mark Livolsi'],,,['AustraliaUnited KingdomUnited States'],['Walt Disney PicturesRuby FilmsEssential Media and EntertainmentBBC FilmsHopscotch Features'],,,,,,,,,,,,,,,,,,,,,,,
Muppets Most Wanted,,"['March11,2014(2014-03-11) (El Capitan Theatre)', 'March21,2014(2014-03-21) (United States)']",['107 minutes'],['United States'],['English'],['$80.4 million[3]'],61,6.4,80%,"Adventure, Comedy, Crime",PG,"$51,183,113",movie,['James Bobin'],"['James Bobin', 'Nicholas Stoller']","[""Disney's Muppet characters and properties""]","['David Hoberman', 'Todd Lieberman']","['Ricky Gervais', 'Ty Burrell', 'Tina Fey']",['Christophe Beck'],['Walt Disney Studios Motion Pictures'],['$51 million[2][3]'],,,['Don Burgess'],['James Thomas[1]'],,,,['Walt Disney PicturesMandeville Films'],,,,,,,,,,,,,,,,,,,,,,,
Bears,,"['April18,2014(2014-04-18) (United States)']",['77 minutes'],['United States'],['English'],['$21.3 million[4]'],68,7.4,90%,"Documentary, Family",G,"$17,780,194",movie,['Alastair FothergillKeith Scholey'],['Alastair FothergillAdam Chapman'],,,,['George Fenton'],['Walt Disney Studios Motion Pictures'],['$5 million[3]'],,['John C. Reilly[1]'],,,,,,"['Disneynature', 'Silverback Films[2]']",,,,,,,,,,,,,,,,,,,,,,,
Million Dollar Arm,,"['May6,2014(2014-05-06) (El Capitan Theatre)', 'May16,2014(2014-05-16) (United States)']",['124 minutes[1]'],['United States'],,['$40.2 million[3]'],56,7.0,65%,"Biography, Drama, Sport",PG,"$36,457,627",movie,['Craig Gillespie'],['Tom McCarthy'],,['Michael MandtNeil MandtJoe RothMark CiardiGordon Gray'],['Jon HammAasif MandviBill PaxtonSuraj SharmaLake BellAlan Arkin'],['A. R. Rahman'],['Walt Disney Studios Motion Pictures'],['$25 million[2]'],,,['Gyula Pados'],['Tatiana S. Riegel'],"['English', 'Hindi']",,,['Walt Disney PicturesRoth FilmsMayhem Pictures'],,,,,,,,,,,,,,,,,,,,,,,
Maleficent,,"['May28,2014(2014-05-28) (El Capitan Theatre)', 'May30,2014(2014-05-30) (United States)']",['97 minutes[1]'],['United States'],['English'],['$758.5million[1]'],56,7.0,54%,"Action, Adventure, Family",PG,"$241,410,378",movie,['Robert Stromberg'],,"[""Disney's Sleeping Beauty and"", 'La Belle au bois dormant written by Charles Perrault']",['Joe Roth'],"['Angelina Jolie', 'Sharlto Copley', 'Elle Fanning', 'Sam Riley', 'Imelda Staunton', 'Juno Temple', 'Lesley Manville']",['James Newton Howard'],['Walt Disney Studios Motion Pictures'],['$180–263million[2]'],,,['Dean Semler'],"['Chris Lebenzon', 'Richard Pearson']",,['Linda Woolverton'],,"['Walt Disney Pictures', 'Roth Films']",,,,,,,,,,,,,,,,,,,,,,,
Planes: Fire & Rescue,,"['July15,2014(2014-07-15) (El Capitan Theatre)', 'July18,2014(2014-07-18) (United States)']",['84minutes[2]'],['United States'],['English'],['$147million[3]'],,,,,,,,['Bobs Gannaway'],"['Bobs Gannaway', 'Jeffrey M. Howard']",,['Ferrell Barron[1]'],"['Dane Cook', 'Stacy Keach', 'Brad Garrett', 'Danny Mann', 'Teri Hatcher', 'Julie Bowen', 'Ed Harris', 'Regina King', 'Wes Studi', 'Dale Dye']",['Mark Mancina'],['Walt Disney StudiosMotion Pictures'],['$50million[3][4]'],,,,['Dan Molina'],,,,"['Walt Disney Pictures', 'Disneytoon Studios']",,,,,,,,,,,,,,,,,,,,,,,
